image,equation,answer
math_1.jpg,"Find det([[0,2],[3,-4]])",-6
math_2.jpg,"Find det([[-1,-1],[2,2]])",0
math_3.jpg,"P(A)=0.6, P(B)=0.3, P(A∩B)=0.09. Find P(A∪B)",0.81
math_4.jpg,Find d/dx of f(x) = 5x^3 +4x^2 -3x,15x^2 +8x -3
math_5.jpg,"P(A)=0.5, P(B)=0.4, P(A∩B)=0.16. Find P(A∪B)",0.74
math_6.jpg,Evaluate: ∫ (2x +5) dx,1.0x^2 +5x + C
math_7.jpg,Evaluate: ∫ (5x +2) dx,2.5x^2 +2x + C
math_8.jpg,"P(A)=0.4, P(B)=0.3, P(A∩B)=0.12. Find P(A∪B)",0.58
math_9.jpg,Solve for x: 1x^2 +1x -2 = 0,"x = -2, 1"
math_10.jpg,"P(A)=0.4, P(B)=0.5, P(A∩B)=0.12. Find P(A∪B)",0.78
math_11.jpg,"Find det([[-5,-5],[-3,3]])",-30
math_12.jpg,Evaluate: ∫ (5x -6) dx,2.5x^2 -6x + C
math_13.jpg,Evaluate: ∫ (1x +0) dx,0.5x^2 +0x + C
math_14.jpg,"Find det([[-3,-3],[-3,5]])",-24
math_15.jpg,Evaluate: ∫ (5x -5) dx,2.5x^2 -5x + C
math_16.jpg,"P(A)=0.5, P(B)=0.4, P(A∩B)=0.16. Find P(A∪B)",0.74
math_17.jpg,Solve for x: 1x^2 -4x +3 = 0,"x = 1, 3"
math_18.jpg,Solve for x: 1x^2 -13x +36 = 0,"x = 4, 9"
math_19.jpg,"P(A)=0.2, P(B)=0.5, P(A∩B)=0.06. Find P(A∪B)",0.64
math_20.jpg,Solve for x: 1x^2 +8x +12 = 0,"x = -2, -6"
math_21.jpg,Evaluate: ∫ (2x +4) dx,1.0x^2 +4x + C
math_22.jpg,Find d/dx of f(x) = 2x^3 +4x^2 +2x,6x^2 +8x +2
math_23.jpg,"P(A)=0.3, P(B)=0.2, P(A∩B)=0.06. Find P(A∪B)",0.44
math_24.jpg,Find d/dx of f(x) = 4x^3 +1x^2 +4x,12x^2 +2x +4
math_25.jpg,Solve for x: 1x^2 +4x -32 = 0,"x = -8, 4"
math_26.jpg,Solve for x: 1x^2 -10x +24 = 0,"x = 6, 4"
math_27.jpg,"P(A)=0.4, P(B)=0.3, P(A∩B)=0.06. Find P(A∪B)",0.64
math_28.jpg,"P(A)=0.5, P(B)=0.5, P(A∩B)=0.1. Find P(A∪B)",0.9
math_29.jpg,"Find det([[0,-3],[2,-1]])",6
math_30.jpg,Find d/dx of f(x) = 3x^3 -3x^2 -3x,9x^2 -6x -3
math_31.jpg,"P(A)=0.2, P(B)=0.5, P(A∩B)=0.06. Find P(A∪B)",0.64
math_32.jpg,Find d/dx of f(x) = 2x^3 +6x^2 -6x,6x^2 +12x -6
math_33.jpg,Solve for x: 2x^2 -26x +80 = 0,"x = 8, 5"
math_34.jpg,Solve for x: 1x^2 +7x +12 = 0,"x = -4, -3"
math_35.jpg,Find d/dx of f(x) = 5x^3 -1x^2 +1x,15x^2 -2x +1
math_36.jpg,Solve for x: 2x^2 -6x -8 = 0,"x = 4, -1"
math_37.jpg,Find d/dx of f(x) = 3x^3 +0x^2 +2x,9x^2 +0x +2
math_38.jpg,Evaluate: ∫ (2x +5) dx,1.0x^2 +5x + C
math_39.jpg,"Find det([[-4,-2],[5,4]])",-6
math_40.jpg,Find d/dx of f(x) = 4x^3 +1x^2 -2x,12x^2 +2x -2
math_41.jpg,"P(A)=0.5, P(B)=0.3, P(A∩B)=0.12. Find P(A∪B)",0.68
math_42.jpg,"P(A)=0.2, P(B)=0.3, P(A∩B)=0.04. Find P(A∪B)",0.46
math_43.jpg,Solve for x: 1x^2 -8x +7 = 0,"x = 7, 1"
math_44.jpg,Evaluate: ∫ (3x +1) dx,1.5x^2 +1x + C
math_45.jpg,Solve for x: 1x^2 +4x -21 = 0,"x = 3, -7"
math_46.jpg,Evaluate: ∫ (4x +1) dx,2.0x^2 +1x + C
math_47.jpg,Solve for x: 1x^2 +9x +0 = 0,"x = 0, -9"
math_48.jpg,"Find det([[-5,4],[2,1]])",-13
math_49.jpg,Evaluate: ∫ (5x +0) dx,2.5x^2 +0x + C
math_50.jpg,"P(A)=0.4, P(B)=0.4, P(A∩B)=0.08. Find P(A∪B)",0.72
math_51.jpg,"P(A)=0.6, P(B)=0.5, P(A∩B)=0.2. Find P(A∪B)",0.9
math_52.jpg,Find d/dx of f(x) = 1x^3 +0x^2 -6x,3x^2 +0x -6
math_53.jpg,Find d/dx of f(x) = 3x^3 -6x^2 -2x,9x^2 -12x -2
math_54.jpg,Evaluate: ∫ (5x +3) dx,2.5x^2 +3x + C
math_55.jpg,Solve for x: 1x^2 -11x +28 = 0,"x = 7, 4"
math_56.jpg,Solve for x: 1x^2 +0x -64 = 0,"x = -8, 8"
math_57.jpg,"P(A)=0.5, P(B)=0.3, P(A∩B)=0.09. Find P(A∪B)",0.71
math_58.jpg,"Find det([[-3,5],[-3,-4]])",27
math_59.jpg,Find d/dx of f(x) = 2x^3 -3x^2 +2x,6x^2 -6x +2
math_60.jpg,Evaluate: ∫ (4x -2) dx,2.0x^2 -2x + C
math_61.jpg,Find d/dx of f(x) = 1x^3 -4x^2 +2x,3x^2 -8x +2
math_62.jpg,Solve for x: 1x^2 +6x +8 = 0,"x = -4, -2"
math_63.jpg,Find d/dx of f(x) = 3x^3 +2x^2 -1x,9x^2 +4x -1
math_64.jpg,Find d/dx of f(x) = 5x^3 -1x^2 +0x,15x^2 -2x +0
math_65.jpg,Find d/dx of f(x) = 3x^3 +0x^2 +4x,9x^2 +0x +4
math_66.jpg,Find d/dx of f(x) = 2x^3 -3x^2 -3x,6x^2 -6x -3
math_67.jpg,Find d/dx of f(x) = 3x^3 -6x^2 -5x,9x^2 -12x -5
math_68.jpg,"P(A)=0.6, P(B)=0.2, P(A∩B)=0.06. Find P(A∪B)",0.74
math_69.jpg,Solve for x: 2x^2 +0x -98 = 0,"x = 7, -7"
math_70.jpg,Find d/dx of f(x) = 3x^3 -5x^2 -4x,9x^2 -10x -4
math_71.jpg,Solve for x: 2x^2 +10x +12 = 0,"x = -2, -3"
math_72.jpg,Find d/dx of f(x) = 2x^3 +0x^2 -1x,6x^2 +0x -1
